,date,home_team,away_team,home_shots,away_shots,odds_h,odds_d,odds_a,league,season,prob_h,prob_d,prob_a,home_adj_shots,home_adj_shots_conc,away_adj_shots,away_adj_shots_conc
135,2019-11-30,Southampton,Watford,11.0,6.0,2.2,3.62,3.64,premier_league,1920,0.4520529146997475,0.27472829070150406,0.2732187945987485,9.808796213469673,18.2,10.008026518852954,14.2
136,2019-12-01,Norwich,Arsenal,15.0,16.0,4.33,4.4,1.86,premier_league,1920,0.23190837012394516,0.22821891878106423,0.5398727110949906,14.612385341849365,16.6,10.019080040124111,16.6
137,2019-12-01,Wolves,Sheffield United,13.0,9.0,2.0,3.55,4.6,premier_league,1920,0.5004596996628868,0.2819491265706405,0.21759117376647255,14.369381180832647,11.8,11.305365896232336,11.0
138,2019-12-01,Leicester,Everton,16.0,11.0,1.68,4.25,5.6,premier_league,1920,0.5898681471200555,0.23317140874392783,0.17696044413601666,20.149683998847376,9.2,14.34725377629324,7.4
139,2019-12-01,Man United,Aston Villa,16.0,9.0,1.55,4.69,8.0,premier_league,1920,0.6560644873621907,0.21682301821138497,0.12711249442642444,14.454897601261285,10.0,15.061865618894803,19.6
140,2019-12-03,Crystal Palace,Bournemouth,7.0,6.0,2.34,3.52,3.45,premier_league,1920,0.4267971237585138,0.2837230879531029,0.2894797882883833,11.62389119560103,15.8,15.173859865518022,14.8
141,2019-12-03,Burnley,Man City,4.0,17.0,13.0,7.0,1.28,premier_league,1920,0.07684391080617495,0.1427101200686106,0.7804459691252144,12.350756832717149,11.6,24.093968733959734,8.6
142,2019-12-04,Chelsea,Aston Villa,25.0,9.0,1.33,6.2,11.25,premier_league,1920,0.7503348268313279,0.16095892252994617,0.08870625063872589,17.724188128608027,9.6,13.356078118017487,18.8
143,2019-12-04,Leicester,Watford,12.0,4.0,1.4,5.6,10.5,premier_league,1920,0.7228915662650602,0.18072289156626506,0.09638554216867469,22.05553780298737,8.8,9.703539193027739,14.0
144,2019-12-04,Man United,Tottenham,12.0,8.0,2.77,3.6,2.7,premier_league,1920,0.3577343491222259,0.2752567075190461,0.367008943358728,14.800013313749833,9.8,15.239373542237796,14.6
145,2019-12-04,Southampton,Norwich,14.0,10.0,1.85,4.15,4.6,premier_league,1920,0.5411381191977889,0.24123024590744807,0.21763163489476298,8.90526347299272,18.6,14.907598463827338,17.6
146,2019-12-04,Wolves,West Ham,13.0,6.0,1.82,3.85,5.05,premier_league,1920,0.5455170382009231,0.25788078169498185,0.1966021801040951,16.723283780333585,10.8,9.883156040461746,14.0
147,2019-12-04,Liverpool,Everton,11.0,12.0,1.42,5.25,9.15,premier_league,1920,0.7014258492673632,0.18971899161136296,0.10885515912127383,15.087383376528857,12.4,13.125475663014868,9.0
148,2019-12-05,Sheffield United,Newcastle,13.0,6.0,1.95,3.56,4.85,premier_league,1920,0.5128692578455689,0.28092557662889306,0.206205165525538,12.59899152268093,11.8,11.807921202700289,17.2
149,2019-12-05,Arsenal,Brighton,12.0,20.0,1.63,4.35,5.85,premier_league,1920,0.6048343969481978,0.2266390958679454,0.1685265071838568,10.589480192823647,18.0,10.691182273692172,14.4
150,2019-12-07,Everton,Chelsea,13.0,15.0,3.65,3.95,2.08,premier_league,1920,0.271823460323237,0.2511786405518519,0.47699789912491114,13.903136116338867,9.6,17.844355915048354,8.8
151,2019-12-07,Bournemouth,Liverpool,3.0,21.0,8.0,5.3,1.47,premier_league,1920,0.12576068182918756,0.18982744427047182,0.6844118739003405,13.1194033151191,14.8,14.05841772593235,12.6
152,2019-12-07,Tottenham,Burnley,13.0,7.0,1.45,5.0,9.1,premier_league,1920,0.6899689134885132,0.20009098491166882,0.10994010159981803,13.89831619373416,12.8,9.526862749484598,11.8
153,2019-12-07,Watford,Crystal Palace,13.0,3.0,2.5,3.45,3.22,premier_league,1920,0.39983443708609273,0.2897350993377483,0.3104304635761589,10.352034560808027,13.4,10.78324414264004,14.0
154,2019-12-07,Man City,Man United,22.0,11.0,1.35,6.05,11.0,premier_league,1920,0.7430150445194964,0.1657967454712926,0.09118821000921093,24.64708813180092,7.2,13.375180250767823,9.4
155,2019-12-08,Aston Villa,Leicester,15.0,23.0,4.5,4.07,1.9,premier_league,1920,0.22351002948147292,0.24712411122030173,0.5293658592982253,11.914899486698918,18.8,17.124992168066736,8.4
156,2019-12-08,Newcastle,Southampton,12.0,19.0,2.7,3.32,3.1,premier_league,1920,0.37254760008687465,0.30297545790197644,0.3244769420111489,11.400528541695483,17.2,9.77295191996242,15.6
157,2019-12-08,Norwich,Sheffield United,14.0,9.0,3.3,3.58,2.6,premier_league,1920,0.31337957039929976,0.28886943640158913,0.39775099319911117,14.251464631976386,16.2,11.830242354334906,10.6
158,2019-12-08,Brighton,Wolves,13.0,13.0,2.8,3.25,2.95,premier_league,1920,0.35578439558400593,0.3065219408108359,0.3376936636051581,12.145475903441254,14.8,16.530502900370088,9.4
159,2019-12-09,West Ham,Arsenal,11.0,10.0,3.6,4.25,2.08,premier_league,1920,0.2794991779435943,0.2367522448463387,0.48374857721006703,9.394270274580405,14.6,9.943409822233978,20.0
160,2019-12-14,Liverpool,Watford,16.0,8.0,1.2,8.2,21.0,premier_league,1920,0.8309206716850028,0.12159814707585408,0.047481181239143015,14.42292795566588,12.2,9.304976611301427,10.8
161,2019-12-14,Burnley,Newcastle,7.0,9.0,2.02,3.62,4.3,premier_league,1920,0.49315051133555526,0.2751834345021607,0.2316660541622841,9.608310302532058,11.8,10.189995712230097,17.8
162,2019-12-14,Chelsea,Bournemouth,18.0,11.0,1.28,7.0,13.0,premier_league,1920,0.7804459691252145,0.14271012006861064,0.07684391080617498,18.993390171446993,9.0,10.783036942295464,16.0
163,2019-12-14,Leicester,Norwich,18.0,10.0,1.25,7.35,15.0,premier_league,1920,0.7978290366350067,0.13568521031207598,0.06648575305291722,17.567642764344008,9.0,15.932128913432592,13.8
164,2019-12-14,Sheffield United,Aston Villa,7.0,8.0,1.93,3.9,4.35,premier_league,1920,0.5158494868871152,0.2552793614595211,0.22887115165336377,11.430094926262367,12.2,15.128395592726246,18.4
165,2019-12-14,Southampton,West Ham,11.0,11.0,1.98,4.0,3.95,premier_league,1920,0.5009352905741734,0.24796296883421579,0.2511017405916109,11.420948171107996,12.8,8.00427914719527,14.2
166,2019-12-15,Man United,Everton,24.0,8.0,1.82,3.89,5.0,premier_league,1920,0.5458913606026417,0.25540418413799687,0.1987044552593616,14.77180243603243,11.4,16.3701718502209,11.8
167,2019-12-15,Wolves,Tottenham,18.0,9.0,3.35,3.6,2.35,premier_league,1920,0.2979660121510962,0.2772739279739368,0.42476005987496696,13.139682926853851,10.0,14.995959209981365,12.8
168,2019-12-15,Arsenal,Man City,6.0,14.0,6.5,5.7,1.49,premier_league,1920,0.153780690953864,0.17536394582458173,0.6708553632215544,10.399742834930082,17.2,24.815803624349154,8.8
169,2019-12-16,Crystal Palace,Brighton,11.0,15.0,2.65,3.34,3.0,premier_league,1920,0.3735878602587525,0.2964095298460162,0.33000260989523134,8.905171837709835,13.8,12.311947912489353,16.0
170,2019-12-21,Everton,Arsenal,9.0,6.0,2.4,3.88,3.0,premier_league,1920,0.41346973572037515,0.2557544757033248,0.3307757885763001,14.193190454885714,15.8,9.49590485795266,16.2
171,2019-12-21,Aston Villa,Southampton,19.0,17.0,2.5,3.74,3.0,premier_league,1920,0.3997149982187389,0.267189169932312,0.33309583184894903,14.373147291499304,16.4,12.495213581271784,10.2
172,2019-12-21,Bournemouth,Burnley,3.0,2.0,2.55,3.5,3.05,premier_league,1920,0.389918728883207,0.2840836453291936,0.3259976257875993,11.073074591348284,15.6,7.766987430117595,12.2
173,2019-12-21,Brighton,Sheffield United,9.0,7.0,2.32,3.35,3.7,premier_league,1920,0.43111543946297526,0.2985635282251052,0.27032103231191956,13.56088595753618,14.0,9.255672661053655,10.4
174,2019-12-21,Newcastle,Crystal Palace,8.0,16.0,2.53,3.27,3.4,premier_league,1920,0.397169302435243,0.3072900107526497,0.29554068681210727,8.451705024507145,16.0,9.318236275248005,12.2
175,2019-12-21,Norwich,Wolves,13.0,14.0,3.9,3.9,2.03,premier_league,1920,0.25502512562814067,0.25502512562814067,0.48994974874371855,15.659546652181266,15.0,14.511958630175688,9.2
176,2019-12-21,Man City,Leicester,23.0,5.0,1.4,5.8,8.25,premier_league,1920,0.7086789099526065,0.17106042654028436,0.120260663507109,20.31910912036107,7.6,17.400633668709983,9.4
