,date,home_team,away_team,home_shots,away_shots,odds_h,odds_d,odds_a,league,season,prob_h,prob_d,prob_a
36,2019-08-31,West Ham,Norwich,18.0,8.0,1.94,4.03,4.1,premier_league,1920,0.5116240184299834,0.24629047041046345,0.24208551115955312
37,2019-08-31,Burnley,Liverpool,7.0,15.0,11.0,5.7,1.37,premier_league,1920,0.09124902137206557,0.17609460264784585,0.7326563759800886
38,2019-09-01,Everton,Wolves,15.0,8.0,2.22,3.4,3.85,premier_league,1920,0.44851807435326374,0.2928559191365428,0.25862600651019363
39,2019-09-01,Arsenal,Tottenham,26.0,13.0,2.43,3.75,3.0,premier_league,1920,0.4068348250610252,0.2636289666395443,0.3295362082994304
40,2019-09-14,Liverpool,Newcastle,21.0,8.0,1.18,9.15,23.0,premier_league,1920,0.8472665638700898,0.10926497763570556,0.0434684584942046
41,2019-09-14,Brighton,Burnley,14.0,7.0,2.2,3.42,3.8,premier_league,1920,0.45000000000000007,0.2894736842105263,0.2605263157894737
42,2019-09-14,Man United,Leicester,10.0,9.0,2.0,3.8,4.5,premier_league,1920,0.5074183976261128,0.26706231454005935,0.2255192878338279
43,2019-09-14,Sheffield United,Southampton,17.0,11.0,2.55,3.35,3.15,premier_league,1920,0.3889964058612109,0.2961017417749516,0.3149018523638374
44,2019-09-14,Tottenham,Crystal Palace,13.0,11.0,1.45,5.25,9.0,premier_league,1920,0.6957482054113749,0.19215902816123687,0.11209276642738816
45,2019-09-14,Wolves,Chelsea,11.0,15.0,3.07,3.43,2.6,premier_league,1920,0.3251172981505719,0.2909941998024068,0.3838885020470213
46,2019-09-14,Norwich,Man City,7.0,25.0,21.0,9.85,1.18,premier_league,1920,0.04778152787427081,0.10186924724463829,0.8503492248810909
47,2019-09-15,Bournemouth,Everton,13.0,14.0,3.1,3.55,2.5,premier_league,1920,0.32120883098081787,0.28049221860296775,0.3982989504162142
48,2019-09-15,Watford,Arsenal,31.0,10.0,3.9,3.9,2.08,premier_league,1920,0.2580645161290323,0.2580645161290323,0.48387096774193544
49,2019-09-16,Aston Villa,West Ham,10.0,13.0,2.7,3.67,2.7,premier_league,1920,0.3655378486055777,0.26892430278884466,0.3655378486055777
50,2019-09-20,Southampton,Bournemouth,25.0,6.0,2.17,3.7,3.7,premier_league,1920,0.46019900497512445,0.26990049751243783,0.26990049751243783
51,2019-09-21,Leicester,Tottenham,16.0,11.0,2.95,3.6,2.55,premier_league,1920,0.3359868240461158,0.2753225363711227,0.3886906395827615
52,2019-09-21,Burnley,Norwich,13.0,11.0,2.05,3.9,3.8,premier_league,1920,0.48423460218918474,0.25453357294559714,0.26123182486521807
53,2019-09-21,Everton,Sheffield United,16.0,2.0,1.71,4.0,6.0,premier_league,1920,0.583941605839416,0.24963503649635035,0.16642335766423355
54,2019-09-21,Man City,Watford,28.0,5.0,1.13,11.5,31.0,premier_league,1920,0.8812805141833014,0.08659538965453309,0.0321240961621655
55,2019-09-21,Newcastle,Brighton,11.0,16.0,2.55,3.28,3.2,premier_league,1920,0.3884529977794227,0.30199851961509994,0.3095484826054774
56,2019-09-22,Crystal Palace,Wolves,13.0,14.0,2.7,3.2,3.0,premier_league,1920,0.3644646924829157,0.3075170842824601,0.3280182232346241
57,2019-09-22,West Ham,Man United,8.0,9.0,3.45,3.72,2.28,premier_league,1920,0.2906489020478658,0.269553417221811,0.43979768073032327
